instant_hour,dteday,season_hour,yr_hour,mnth_hour,hr,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,instant_day,season_day,yr_day,mnth_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day,demand_cluster
4938,2011-07-29,Fall,0,July,15,No,Friday,Working Day,Clear/Partly Cloudy,39.36,43.18,30.0,17.0,40,129,169,210,Fall,2011,July,No,Friday,Working Day,Clear/Partly Cloudy,34.37,39.3,54.25,11.67,670,3176,3846,Medium Demand
4939,2011-07-29,Fall,0,July,16,No,Friday,Working Day,Clear/Partly Cloudy,39.36,43.18,30.0,26.0,35,198,233,210,Fall,2011,July,No,Friday,Working Day,Clear/Partly Cloudy,34.37,39.3,54.25,11.67,670,3176,3846,Medium Demand
4940,2011-07-29,Fall,0,July,17,No,Friday,Working Day,Clear/Partly Cloudy,39.36,43.18,30.0,20.0,47,374,421,210,Fall,2011,July,No,Friday,Working Day,Clear/Partly Cloudy,34.37,39.3,54.25,11.67,670,3176,3846,Medium Demand
4941,2011-07-29,Fall,0,July,18,No,Friday,Working Day,Clear/Partly Cloudy,37.72,43.18,37.0,22.0,49,313,362,210,Fall,2011,July,No,Friday,Working Day,Clear/Partly Cloudy,34.37,39.3,54.25,11.67,670,3176,3846,Medium Demand
4942,2011-07-29,Fall,0,July,19,No,Friday,Working Day,Clear/Partly Cloudy,36.9,42.42,42.0,15.0,22,219,241,210,Fall,2011,July,No,Friday,Working Day,Clear/Partly Cloudy,34.37,39.3,54.25,11.67,670,3176,3846,Medium Demand
4943,2011-07-29,Fall,0,July,20,No,Friday,Working Day,Clear/Partly Cloudy,35.26,39.4,41.0,22.0,53,153,206,210,Fall,2011,July,No,Friday,Working Day,Clear/Partly Cloudy,34.37,39.3,54.25,11.67,670,3176,3846,Medium Demand
4944,2011-07-29,Fall,0,July,21,No,Friday,Working Day,Clear/Partly Cloudy,33.62,37.88,46.0,11.0,29,134,163,210,Fall,2011,July,No,Friday,Working Day,Clear/Partly Cloudy,34.37,39.3,54.25,11.67,670,3176,3846,Medium Demand
4945,2011-07-29,Fall,0,July,22,No,Friday,Working Day,Clear/Partly Cloudy,32.8,37.12,49.0,15.0,47,127,174,210,Fall,2011,July,No,Friday,Working Day,Clear/Partly Cloudy,34.37,39.3,54.25,11.67,670,3176,3846,Medium Demand
4946,2011-07-29,Fall,0,July,23,No,Friday,Working Day,Clear/Partly Cloudy,31.98,35.6,52.0,7.0,26,90,116,210,Fall,2011,July,No,Friday,Working Day,Clear/Partly Cloudy,34.37,39.3,54.25,11.67,670,3176,3846,Medium Demand
4947,2011-07-30,Fall,0,July,0,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,31.16,34.85,55.0,13.0,60,73,133,211,Fall,2011,July,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,32.97,36.43,46.58,11.29,1559,2916,4475,Medium Demand
4948,2011-07-30,Fall,0,July,1,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,31.16,34.85,55.0,6.0,15,75,90,211,Fall,2011,July,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,32.97,36.43,46.58,11.29,1559,2916,4475,Medium Demand
4949,2011-07-30,Fall,0,July,2,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,31.16,34.85,55.0,7.0,11,31,42,211,Fall,2011,July,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,32.97,36.43,46.58,11.29,1559,2916,4475,Medium Demand
4950,2011-07-30,Fall,0,July,3,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,30.34,34.09,62.0,11.0,18,25,43,211,Fall,2011,July,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,32.97,36.43,46.58,11.29,1559,2916,4475,Medium Demand
4951,2011-07-30,Fall,0,July,4,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,29.52,34.09,66.0,11.0,4,6,10,211,Fall,2011,July,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,32.97,36.43,46.58,11.29,1559,2916,4475,Medium Demand
4952,2011-07-30,Fall,0,July,5,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,29.52,34.09,70.0,19.0,4,9,13,211,Fall,2011,July,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,32.97,36.43,46.58,11.29,1559,2916,4475,Medium Demand
4953,2011-07-30,Fall,0,July,6,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,29.52,34.09,70.0,20.0,6,18,24,211,Fall,2011,July,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,32.97,36.43,46.58,11.29,1559,2916,4475,Medium Demand
4954,2011-07-30,Fall,0,July,7,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,31.16,36.36,66.0,13.0,3,39,42,211,Fall,2011,July,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,32.97,36.43,46.58,11.29,1559,2916,4475,Medium Demand
4955,2011-07-30,Fall,0,July,8,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,31.98,37.12,59.0,15.0,27,87,114,211,Fall,2011,July,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,32.97,36.43,46.58,11.29,1559,2916,4475,Medium Demand
4956,2011-07-30,Fall,0,July,9,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,33.62,37.88,46.0,20.0,49,125,174,211,Fall,2011,July,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,32.97,36.43,46.58,11.29,1559,2916,4475,Medium Demand
4957,2011-07-30,Fall,0,July,10,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,33.62,37.12,41.0,20.0,79,182,261,211,Fall,2011,July,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,32.97,36.43,46.58,11.29,1559,2916,4475,Medium Demand
4958,2011-07-30,Fall,0,July,11,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,34.44,37.12,36.0,13.0,111,206,317,211,Fall,2011,July,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,32.97,36.43,46.58,11.29,1559,2916,4475,Medium Demand
4959,2011-07-30,Fall,0,July,12,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,34.44,36.36,32.0,11.0,111,230,341,211,Fall,2011,July,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,32.97,36.43,46.58,11.29,1559,2916,4475,Medium Demand
4960,2011-07-30,Fall,0,July,13,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,36.08,37.88,29.0,0.0,125,183,308,211,Fall,2011,July,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,32.97,36.43,46.58,11.29,1559,2916,4475,Medium Demand
4961,2011-07-30,Fall,0,July,14,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,36.9,39.4,29.0,0.0,112,193,305,211,Fall,2011,July,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,32.97,36.43,46.58,11.29,1559,2916,4475,Medium Demand
4962,2011-07-30,Fall,0,July,15,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,36.9,40.15,31.0,9.0,113,189,302,211,Fall,2011,July,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,32.97,36.43,46.58,11.29,1559,2916,4475,Medium Demand
4963,2011-07-30,Fall,0,July,16,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,36.9,39.4,27.0,15.0,126,176,302,211,Fall,2011,July,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,32.97,36.43,46.58,11.29,1559,2916,4475,Medium Demand
4964,2011-07-30,Fall,0,July,17,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,36.9,39.4,29.0,7.0,93,209,302,211,Fall,2011,July,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,32.97,36.43,46.58,11.29,1559,2916,4475,Medium Demand
4965,2011-07-30,Fall,0,July,18,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,36.08,37.88,28.0,13.0,92,207,299,211,Fall,2011,July,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,32.97,36.43,46.58,11.29,1559,2916,4475,Medium Demand
4966,2011-07-30,Fall,0,July,19,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,30.34,32.57,33.0,15.0,101,155,256,211,Fall,2011,July,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,32.97,36.43,46.58,11.29,1559,2916,4475,Medium Demand
4967,2011-07-30,Fall,0,July,20,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,33.62,37.12,43.0,9.0,74,132,206,211,Fall,2011,July,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,32.97,36.43,46.58,11.29,1559,2916,4475,Medium Demand
4968,2011-07-30,Fall,0,July,21,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,32.8,37.12,49.0,11.0,82,123,205,211,Fall,2011,July,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,32.97,36.43,46.58,11.29,1559,2916,4475,Medium Demand
4969,2011-07-30,Fall,0,July,22,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,31.98,35.6,52.0,7.0,80,129,209,211,Fall,2011,July,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,32.97,36.43,46.58,11.29,1559,2916,4475,Medium Demand
4970,2011-07-30,Fall,0,July,23,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,31.16,34.85,55.0,6.0,63,114,177,211,Fall,2011,July,No,Saturday,Weekend/Holiday,Clear/Partly Cloudy,32.97,36.43,46.58,11.29,1559,2916,4475,Medium Demand
4971,2011-07-31,Fall,0,July,0,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,31.16,34.85,55.0,6.0,33,80,113,212,Fall,2011,July,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,33.04,36.49,48.08,11.04,1524,2778,4302,Medium Demand
4972,2011-07-31,Fall,0,July,1,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,30.34,34.09,62.0,6.0,8,71,79,212,Fall,2011,July,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,33.04,36.49,48.08,11.04,1524,2778,4302,Medium Demand
4973,2011-07-31,Fall,0,July,2,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,30.34,34.85,66.0,6.0,19,48,67,212,Fall,2011,July,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,33.04,36.49,48.08,11.04,1524,2778,4302,Medium Demand
4974,2011-07-31,Fall,0,July,3,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,30.34,34.85,66.0,0.0,24,26,50,212,Fall,2011,July,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,33.04,36.49,48.08,11.04,1524,2778,4302,Medium Demand
4975,2011-07-31,Fall,0,July,4,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,29.52,34.09,70.0,0.0,6,7,13,212,Fall,2011,July,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,33.04,36.49,48.08,11.04,1524,2778,4302,Medium Demand
4976,2011-07-31,Fall,0,July,5,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,29.52,34.09,69.0,0.0,4,4,8,212,Fall,2011,July,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,33.04,36.49,48.08,11.04,1524,2778,4302,Medium Demand
4977,2011-07-31,Fall,0,July,6,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,30.34,34.85,70.0,0.0,5,8,13,212,Fall,2011,July,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,33.04,36.49,48.08,11.04,1524,2778,4302,Medium Demand
4978,2011-07-31,Fall,0,July,7,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,30.34,34.09,58.0,9.0,19,26,45,212,Fall,2011,July,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,33.04,36.49,48.08,11.04,1524,2778,4302,Medium Demand
4979,2011-07-31,Fall,0,July,8,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,31.16,34.85,55.0,15.0,54,88,142,212,Fall,2011,July,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,33.04,36.49,48.08,11.04,1524,2778,4302,Medium Demand
4980,2011-07-31,Fall,0,July,9,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,32.8,37.12,49.0,0.0,55,128,183,212,Fall,2011,July,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,33.04,36.49,48.08,11.04,1524,2778,4302,Medium Demand
4981,2011-07-31,Fall,0,July,10,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,34.44,37.12,36.0,11.0,91,163,254,212,Fall,2011,July,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,33.04,36.49,48.08,11.04,1524,2778,4302,Medium Demand
4982,2011-07-31,Fall,0,July,11,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,35.26,37.12,28.0,11.0,112,163,275,212,Fall,2011,July,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,33.04,36.49,48.08,11.04,1524,2778,4302,Medium Demand
4983,2011-07-31,Fall,0,July,12,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,36.9,38.64,25.0,13.0,146,192,338,212,Fall,2011,July,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,33.04,36.49,48.08,11.04,1524,2778,4302,Medium Demand
4984,2011-07-31,Fall,0,July,13,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,36.9,38.64,24.0,9.0,142,152,294,212,Fall,2011,July,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,33.04,36.49,48.08,11.04,1524,2778,4302,Medium Demand
4985,2011-07-31,Fall,0,July,14,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,36.9,38.64,24.0,11.0,130,196,326,212,Fall,2011,July,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,33.04,36.49,48.08,11.04,1524,2778,4302,Medium Demand
4986,2011-07-31,Fall,0,July,15,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,37.72,38.64,18.0,20.0,109,184,293,212,Fall,2011,July,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,33.04,36.49,48.08,11.04,1524,2778,4302,Medium Demand
4987,2011-07-31,Fall,0,July,16,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,37.72,38.64,17.0,19.0,98,208,306,212,Fall,2011,July,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,33.04,36.49,48.08,11.04,1524,2778,4302,Medium Demand
4988,2011-07-31,Fall,0,July,17,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,37.72,38.64,16.0,11.0,114,206,320,212,Fall,2011,July,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,33.04,36.49,48.08,11.04,1524,2778,4302,Medium Demand
4989,2011-07-31,Fall,0,July,18,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,35.26,39.4,41.0,19.0,91,213,304,212,Fall,2011,July,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,33.04,36.49,48.08,11.04,1524,2778,4302,Medium Demand
4990,2011-07-31,Fall,0,July,19,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,32.8,37.88,55.0,22.0,87,187,274,212,Fall,2011,July,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,33.04,36.49,48.08,11.04,1524,2778,4302,Medium Demand
4991,2011-07-31,Fall,0,July,20,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,32.8,37.88,55.0,22.0,70,205,275,212,Fall,2011,July,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,33.04,36.49,48.08,11.04,1524,2778,4302,Medium Demand
4992,2011-07-31,Fall,0,July,21,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,31.98,37.12,59.0,20.0,68,96,164,212,Fall,2011,July,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,33.04,36.49,48.08,11.04,1524,2778,4302,Medium Demand
4993,2011-07-31,Fall,0,July,22,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,30.34,34.85,70.0,20.0,25,71,96,212,Fall,2011,July,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,33.04,36.49,48.08,11.04,1524,2778,4302,Medium Demand
4994,2011-07-31,Fall,0,July,23,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,30.34,34.85,66.0,15.0,14,56,70,212,Fall,2011,July,No,Sunday,Weekend/Holiday,Clear/Partly Cloudy,33.04,36.49,48.08,11.04,1524,2778,4302,Medium Demand
4995,2011-08-01,Fall,0,August,0,No,Monday,Working Day,Clear/Partly Cloudy,29.52,34.09,70.0,15.0,7,22,29,213,Fall,2011,August,No,Monday,Working Day,Clear/Partly Cloudy,31.64,35.16,55.08,10.5,729,3537,4266,Medium Demand
4996,2011-08-01,Fall,0,August,1,No,Monday,Working Day,Clear/Partly Cloudy,29.52,34.85,74.0,13.0,5,12,17,213,Fall,2011,August,No,Monday,Working Day,Clear/Partly Cloudy,31.64,35.16,55.08,10.5,729,3537,4266,Medium Demand
4997,2011-08-01,Fall,0,August,2,No,Monday,Working Day,Clear/Partly Cloudy,28.7,33.34,74.0,7.0,4,7,11,213,Fall,2011,August,No,Monday,Working Day,Clear/Partly Cloudy,31.64,35.16,55.08,10.5,729,3537,4266,Medium Demand
4998,2011-08-01,Fall,0,August,3,No,Monday,Working Day,Clear/Partly Cloudy,28.7,33.34,79.0,11.0,0,4,4,213,Fall,2011,August,No,Monday,Working Day,Clear/Partly Cloudy,31.64,35.16,55.08,10.5,729,3537,4266,Medium Demand
4999,2011-08-01,Fall,0,August,4,No,Monday,Working Day,Clear/Partly Cloudy,27.06,30.3,83.0,9.0,2,2,4,213,Fall,2011,August,No,Monday,Working Day,Clear/Partly Cloudy,31.64,35.16,55.08,10.5,729,3537,4266,Medium Demand
5000,2011-08-01,Fall,0,August,5,No,Monday,Working Day,Clear/Partly Cloudy,27.06,30.3,83.0,7.0,2,24,26,213,Fall,2011,August,No,Monday,Working Day,Clear/Partly Cloudy,31.64,35.16,55.08,10.5,729,3537,4266,Medium Demand
5001,2011-08-01,Fall,0,August,6,No,Monday,Working Day,Clear/Partly Cloudy,27.06,30.3,83.0,6.0,3,97,100,213,Fall,2011,August,No,Monday,Working Day,Clear/Partly Cloudy,31.64,35.16,55.08,10.5,729,3537,4266,Medium Demand
5002,2011-08-01,Fall,0,August,7,No,Monday,Working Day,Clear/Partly Cloudy,30.34,34.09,62.0,0.0,24,258,282,213,Fall,2011,August,No,Monday,Working Day,Clear/Partly Cloudy,31.64,35.16,55.08,10.5,729,3537,4266,Medium Demand
5003,2011-08-01,Fall,0,August,8,No,Monday,Working Day,Clear/Partly Cloudy,32.8,36.36,43.0,13.0,35,347,382,213,Fall,2011,August,No,Monday,Working Day,Clear/Partly Cloudy,31.64,35.16,55.08,10.5,729,3537,4266,Medium Demand
5004,2011-08-01,Fall,0,August,9,No,Monday,Working Day,Clear/Partly Cloudy,33.62,37.12,41.0,0.0,27,139,166,213,Fall,2011,August,No,Monday,Working Day,Clear/Partly Cloudy,31.64,35.16,55.08,10.5,729,3537,4266,Medium Demand
5005,2011-08-01,Fall,0,August,10,No,Monday,Working Day,Clear/Partly Cloudy,35.26,37.88,36.0,11.0,27,70,97,213,Fall,2011,August,No,Monday,Working Day,Clear/Partly Cloudy,31.64,35.16,55.08,10.5,729,3537,4266,Medium Demand
5006,2011-08-01,Fall,0,August,11,No,Monday,Working Day,Clear/Partly Cloudy,36.08,38.64,32.0,11.0,53,66,119,213,Fall,2011,August,No,Monday,Working Day,Clear/Partly Cloudy,31.64,35.16,55.08,10.5,729,3537,4266,Medium Demand
5007,2011-08-01,Fall,0,August,12,No,Monday,Working Day,Clear/Partly Cloudy,36.9,40.15,33.0,17.0,53,115,168,213,Fall,2011,August,No,Monday,Working Day,Clear/Partly Cloudy,31.64,35.16,55.08,10.5,729,3537,4266,Medium Demand
5008,2011-08-01,Fall,0,August,13,No,Monday,Working Day,Clear/Partly Cloudy,36.9,40.15,31.0,20.0,38,112,150,213,Fall,2011,August,No,Monday,Working Day,Clear/Partly Cloudy,31.64,35.16,55.08,10.5,729,3537,4266,Medium Demand
5009,2011-08-01,Fall,0,August,14,No,Monday,Working Day,Clear/Partly Cloudy,37.72,40.91,29.0,13.0,37,86,123,213,Fall,2011,August,No,Monday,Working Day,Clear/Partly Cloudy,31.64,35.16,55.08,10.5,729,3537,4266,Medium Demand
5010,2011-08-01,Fall,0,August,15,No,Monday,Working Day,Clear/Partly Cloudy,36.9,39.4,27.0,0.0,52,77,129,213,Fall,2011,August,No,Monday,Working Day,Clear/Partly Cloudy,31.64,35.16,55.08,10.5,729,3537,4266,Medium Demand
5011,2011-08-01,Fall,0,August,16,No,Monday,Working Day,Clear/Partly Cloudy,36.9,39.4,27.0,0.0,34,197,231,213,Fall,2011,August,No,Monday,Working Day,Clear/Partly Cloudy,31.64,35.16,55.08,10.5,729,3537,4266,Medium Demand
5012,2011-08-01,Fall,0,August,17,No,Monday,Working Day,Clear/Partly Cloudy,31.16,34.09,45.0,20.0,69,445,514,213,Fall,2011,August,No,Monday,Working Day,Clear/Partly Cloudy,31.64,35.16,55.08,10.5,729,3537,4266,Medium Demand
5013,2011-08-01,Fall,0,August,18,No,Monday,Working Day,Clear/Partly Cloudy,31.98,34.85,43.0,13.0,68,475,543,213,Fall,2011,August,No,Monday,Working Day,Clear/Partly Cloudy,31.64,35.16,55.08,10.5,729,3537,4266,Medium Demand
5014,2011-08-01,Fall,0,August,19,No,Monday,Working Day,Clear/Partly Cloudy,30.34,33.34,51.0,15.0,63,350,413,213,Fall,2011,August,No,Monday,Working Day,Clear/Partly Cloudy,31.64,35.16,55.08,10.5,729,3537,4266,Medium Demand
5015,2011-08-01,Fall,0,August,20,No,Monday,Working Day,Clear/Partly Cloudy,29.52,34.09,62.0,15.0,49,256,305,213,Fall,2011,August,No,Monday,Working Day,Clear/Partly Cloudy,31.64,35.16,55.08,10.5,729,3537,4266,Medium Demand
5016,2011-08-01,Fall,0,August,21,No,Monday,Working Day,Clear/Partly Cloudy,28.7,32.57,70.0,17.0,42,178,220,213,Fall,2011,August,No,Monday,Working Day,Clear/Partly Cloudy,31.64,35.16,55.08,10.5,729,3537,4266,Medium Demand
5017,2011-08-01,Fall,0,August,22,No,Monday,Working Day,Clear/Partly Cloudy,28.7,32.57,70.0,6.0,21,116,137,213,Fall,2011,August,No,Monday,Working Day,Clear/Partly Cloudy,31.64,35.16,55.08,10.5,729,3537,4266,Medium Demand
5018,2011-08-01,Fall,0,August,23,No,Monday,Working Day,Clear/Partly Cloudy,27.88,31.82,74.0,13.0,14,82,96,213,Fall,2011,August,No,Monday,Working Day,Clear/Partly Cloudy,31.64,35.16,55.08,10.5,729,3537,4266,Medium Demand
5019,2011-08-02,Fall,0,August,0,No,Tuesday,Working Day,Clear/Partly Cloudy,27.06,31.06,74.0,0.0,11,18,29,214,Fall,2011,August,No,Tuesday,Working Day,Clear/Partly Cloudy,32.12,35.35,49.12,13.79,801,4044,4845,Medium Demand
5020,2011-08-02,Fall,0,August,1,No,Tuesday,Working Day,Clear/Partly Cloudy,27.06,31.06,74.0,7.0,4,8,12,214,Fall,2011,August,No,Tuesday,Working Day,Clear/Partly Cloudy,32.12,35.35,49.12,13.79,801,4044,4845,Medium Demand
5021,2011-08-02,Fall,0,August,2,No,Tuesday,Working Day,Clear/Partly Cloudy,27.88,31.82,69.0,0.0,2,6,8,214,Fall,2011,August,No,Tuesday,Working Day,Clear/Partly Cloudy,32.12,35.35,49.12,13.79,801,4044,4845,Medium Demand
5022,2011-08-02,Fall,0,August,3,No,Tuesday,Working Day,Clear/Partly Cloudy,27.06,31.06,74.0,13.0,0,5,5,214,Fall,2011,August,No,Tuesday,Working Day,Clear/Partly Cloudy,32.12,35.35,49.12,13.79,801,4044,4845,Medium Demand
5023,2011-08-02,Fall,0,August,4,No,Tuesday,Working Day,Clear/Partly Cloudy,27.06,31.06,74.0,7.0,0,10,10,214,Fall,2011,August,No,Tuesday,Working Day,Clear/Partly Cloudy,32.12,35.35,49.12,13.79,801,4044,4845,Medium Demand
5024,2011-08-02,Fall,0,August,5,No,Tuesday,Working Day,Clear/Partly Cloudy,27.06,31.06,74.0,9.0,4,17,21,214,Fall,2011,August,No,Tuesday,Working Day,Clear/Partly Cloudy,32.12,35.35,49.12,13.79,801,4044,4845,Medium Demand
5025,2011-08-02,Fall,0,August,6,No,Tuesday,Working Day,Clear/Partly Cloudy,27.88,31.82,69.0,7.0,12,105,117,214,Fall,2011,August,No,Tuesday,Working Day,Clear/Partly Cloudy,32.12,35.35,49.12,13.79,801,4044,4845,Medium Demand
5026,2011-08-02,Fall,0,August,7,No,Tuesday,Working Day,Clear/Partly Cloudy,29.52,33.34,61.0,19.0,15,320,335,214,Fall,2011,August,No,Tuesday,Working Day,Clear/Partly Cloudy,32.12,35.35,49.12,13.79,801,4044,4845,Medium Demand
5027,2011-08-02,Fall,0,August,8,No,Tuesday,Working Day,Clear/Partly Cloudy,30.34,34.09,58.0,19.0,37,398,435,214,Fall,2011,August,No,Tuesday,Working Day,Clear/Partly Cloudy,32.12,35.35,49.12,13.79,801,4044,4845,Medium Demand
5028,2011-08-02,Fall,0,August,9,No,Tuesday,Working Day,Clear/Partly Cloudy,31.98,34.85,46.0,20.0,31,182,213,214,Fall,2011,August,No,Tuesday,Working Day,Clear/Partly Cloudy,32.12,35.35,49.12,13.79,801,4044,4845,Medium Demand
5029,2011-08-02,Fall,0,August,10,No,Tuesday,Working Day,Clear/Partly Cloudy,33.62,36.36,36.0,20.0,50,90,140,214,Fall,2011,August,No,Tuesday,Working Day,Clear/Partly Cloudy,32.12,35.35,49.12,13.79,801,4044,4845,Medium Demand
5030,2011-08-02,Fall,0,August,11,No,Tuesday,Working Day,Clear/Partly Cloudy,34.44,36.36,32.0,28.0,32,96,128,214,Fall,2011,August,No,Tuesday,Working Day,Clear/Partly Cloudy,32.12,35.35,49.12,13.79,801,4044,4845,Medium Demand
5031,2011-08-02,Fall,0,August,12,No,Tuesday,Working Day,Clear/Partly Cloudy,35.26,37.12,30.0,19.0,45,112,157,214,Fall,2011,August,No,Tuesday,Working Day,Clear/Partly Cloudy,32.12,35.35,49.12,13.79,801,4044,4845,Medium Demand
5032,2011-08-02,Fall,0,August,13,No,Tuesday,Working Day,Clear/Partly Cloudy,35.26,37.12,30.0,15.0,50,153,203,214,Fall,2011,August,No,Tuesday,Working Day,Clear/Partly Cloudy,32.12,35.35,49.12,13.79,801,4044,4845,Medium Demand
5033,2011-08-02,Fall,0,August,14,No,Tuesday,Working Day,Clear/Partly Cloudy,36.9,38.64,25.0,19.0,45,114,159,214,Fall,2011,August,No,Tuesday,Working Day,Clear/Partly Cloudy,32.12,35.35,49.12,13.79,801,4044,4845,Medium Demand
5034,2011-08-02,Fall,0,August,15,No,Tuesday,Working Day,Clear/Partly Cloudy,36.9,38.64,25.0,19.0,48,120,168,214,Fall,2011,August,No,Tuesday,Working Day,Clear/Partly Cloudy,32.12,35.35,49.12,13.79,801,4044,4845,Medium Demand
5035,2011-08-02,Fall,0,August,16,No,Tuesday,Working Day,Clear/Partly Cloudy,36.9,38.64,25.0,19.0,58,216,274,214,Fall,2011,August,No,Tuesday,Working Day,Clear/Partly Cloudy,32.12,35.35,49.12,13.79,801,4044,4845,Medium Demand
5036,2011-08-02,Fall,0,August,17,No,Tuesday,Working Day,Misty/Cloudy,36.9,39.4,27.0,9.0,63,493,556,214,Fall,2011,August,No,Tuesday,Working Day,Clear/Partly Cloudy,32.12,35.35,49.12,13.79,801,4044,4845,Medium Demand
